"lengths"	"start"	"cumul"
"368"	8563	0.189166676666667	834695
"369"	515	0.190277787777778	835210
"370"	838	0.193055565555556	836048
"371"	680	0.193333343333333	836728
"372"	5244	0.193333343333333	841972
"373"	549	0.194444454444444	842521
"374"	984	0.195555565555556	843505
"375"	644	0.19750001	844149
"376"	3722	0.19750001	847871
"377"	2595	0.197777787777778	850466
"378"	470	0.198333343333333	850936
"379"	840	0.198333343333333	851776
"380"	8995	0.199722232222222	860771
"381"	1297	0.200555565555556	862068
"382"	490	0.201111121111111	862558
"383"	796	0.201388898888889	863354
"384"	2688	0.201944454444444	866042
"385"	2425	0.204166676666667	868467
"386"	672	0.204722232222222	869139
"387"	1468	0.204722232222222	870607
"388"	448	0.20500001	871055
"389"	771	0.206111121111111	871826
"390"	5477	0.206388898888889	877303
"391"	7787	0.209166676666667	885090
"392"	5659	0.209722232222222	890749
"393"	921	0.210555565555556	891670
"394"	4619	0.210833343333333	896289
"395"	2178	0.211944454444444	898467
"396"	1084	0.213333343333333	899551
"397"	1568	0.214444454444444	901119
"398"	719	0.214722232222222	901838
"399"	2967	0.21500001	904805
"400"	6062	0.21500001	910867
"401"	2410	0.218333343333333	913277
"402"	411	0.219722232222222	913688
"403"	531	0.221111121111111	914219
"404"	3368	0.222777787777778	917587
"405"	614	0.223888898888889	918201
"406"	565	0.224166676666667	918766
"407"	701	0.224444454444444	919467
"408"	816	0.224444454444444	920283
"409"	6323	0.225277787777778	926606
"410"	1100	0.225555565555556	927706
"411"	735	0.227222232222222	928441
"412"	12705	0.227777787777778	941146
"413"	2695	0.229444454444444	943841
"414"	1996	0.230555565555556	945837
"415"	3202	0.231666676666667	949039
"416"	994	0.232777787777778	950033
"417"	583	0.234166676666667	950616
"418"	1506	0.234166676666667	952122
"419"	2206	0.234166676666667	954328
"420"	1589	0.23500001	955917
"421"	4819	0.235555565555556	960736
"422"	2150	0.236111121111111	962886
"423"	4221	0.238055565555556	967107
"424"	8632	0.24000001	975739
"425"	2981	0.240277787777778	978720
"426"	6762	0.240833343333333	985482
"427"	4375	0.242222232222222	989857
"428"	7117	0.24250001	996974
"429"	385	0.244166676666667	997359
"430"	4828	0.244444454444444	1002187
"431"	2082	0.244722232222222	1004269
"432"	2876	0.245833343333333	1007145
"433"	300	0.248055565555556	1007445
"434"	765	0.248055565555556	1008210
"435"	1160	0.25000001	1009370
"436"	1041	0.250277787777778	1010411
"437"	3046	0.251111121111111	1013457
"438"	1476	0.251944454444444	1014933
"439"	904	0.252222232222222	1015837
"440"	1146	0.252222232222222	1016983
"441"	409	0.253333343333333	1017392
"442"	1887	0.253333343333333	1019279
"443"	1843	0.253611121111111	1021122
"444"	5830	0.253611121111111	1026952
"445"	792	0.253888898888889	1027744
"446"	2288	0.25500001	1030032
"447"	529	0.256388898888889	1030561
"448"	1094	0.256666676666667	1031655
"449"	793	0.257777787777778	1032448
"450"	1589	0.257777787777778	1034037
"451"	5247	0.258055565555556	1039284
"452"	2195	0.261111121111111	1041479
"453"	416	0.261944454444444	1041895
"454"	5314	0.263055565555556	1047209
"455"	1680	0.263611121111111	1048889
"456"	3206	0.263888898888889	1052095
"457"	533	0.265277787777778	1052628
"458"	1901	0.265833343333333	1054529
"459"	1972	0.266388898888889	1056501
"460"	7130	0.267222232222222	1063631
"461"	666	0.270277787777778	1064297
"462"	2410	0.270555565555556	1066707
"463"	3731	0.272222232222222	1070438
"464"	347	0.273055565555556	1070785
"465"	1295	0.275555565555556	1072080
"466"	2388	0.275555565555556	1074468
"467"	1918	0.276944454444444	1076386
"468"	3086	0.277777787777778	1079472
"469"	3550	0.280555565555556	1083022
"470"	5848	0.280555565555556	1088870
"471"	2176	0.280833343333333	1091046
"472"	3528	0.280833343333333	1094574
"473"	1044	0.281111121111111	1095618
"474"	735	0.28250001	1096353
"475"	2373	0.28250001	1098726
"476"	3029	0.283333343333333	1101755
"477"	1795	0.285555565555556	1103550
"478"	2324	0.285833343333333	1105874
"479"	4431	0.287222232222222	1110305
"480"	1848	0.289444454444444	1112153
"481"	606	0.29000001	1112759
"482"	2863	0.290555565555556	1115622
"483"	7447	0.291388898888889	1123069
"484"	1811	0.293055565555556	1124880
"485"	1380	0.293333343333333	1126260
"486"	3055	0.29500001	1129315
"487"	1335	0.296944454444444	1130650
