channel	filename	read_length	exp_starttime	unix_timestamp	duration	unix_timestamp_end	iso_timestamp	day	hour	minute
140	MINION02_4teamawesome_2446_1_ch140_file11_strand.fast5	2195	1445624688	1445625666	16	1445625682	2015-10-23T14:41:06-0400	23	14	41
140	MINION02_4teamawesome_2446_1_ch140_file12_strand.fast5	2410	1445624688	1445625700	18	1445625718	2015-10-23T14:41:40-0400	23	14	41
140	MINION02_4teamawesome_2446_1_ch140_file13_strand.fast5	2176	1445624688	1445625737	16	1445625753	2015-10-23T14:42:17-0400	23	14	42
140	MINION02_4teamawesome_2446_1_ch140_file14_strand.fast5	606	1445624688	1445625770	5	1445625775	2015-10-23T14:42:50-0400	23	14	42
140	MINION02_4teamawesome_2446_1_ch140_file15_strand.fast5	1501	1445624688	1445625813	12	1445625825	2015-10-23T14:43:33-0400	23	14	43
140	MINION02_4teamawesome_2446_1_ch140_file1_strand.fast5	1656	1445624688	1445624928	12	1445624940	2015-10-23T14:28:48-0400	23	14	28
140	MINION02_4teamawesome_2446_1_ch140_file21_strand.fast5	1356	1445624688	1445625931	10	1445625941	2015-10-23T14:45:31-0400	23	14	45
140	MINION02_4teamawesome_2446_1_ch140_file22_strand.fast5	1886	1445624688	1445625956	13	1445625969	2015-10-23T14:45:56-0400	23	14	45
140	MINION02_4teamawesome_2446_1_ch140_file28_strand.fast5	2173	1445624688	1445626345	43	1445626388	2015-10-23T14:52:25-0400	23	14	52
140	MINION02_4teamawesome_2446_1_ch140_file30_strand.fast5	3973	1445624688	1445626429	31	1445626460	2015-10-23T14:53:49-0400	23	14	53
140	MINION02_4teamawesome_2446_1_ch140_file33_strand.fast5	1482	1445624688	1445626647	11	1445626658	2015-10-23T14:57:27-0400	23	14	57
140	MINION02_4teamawesome_2446_1_ch140_file6_strand.fast5	850	1445624688	1445625183	6	1445625189	2015-10-23T14:33:03-0400	23	14	33
140	MINION02_4teamawesome_2446_1_ch140_file9_strand.fast5	735	1445624688	1445625544	6	1445625550	2015-10-23T14:39:04-0400	23	14	39
141	MINION02_4teamawesome_2446_1_ch141_file1_strand.fast5	1074	1445624688	1445624771	13	1445624784	2015-10-23T14:26:11-0400	23	14	26
143	MINION02_4teamawesome_2446_1_ch143_file1_strand.fast5	566	1445624688	1445624752	5	1445624757	2015-10-23T14:25:52-0400	23	14	25
143	MINION02_4teamawesome_2446_1_ch143_file2_strand.fast5	843	1445624688	1445624762	17	1445624779	2015-10-23T14:26:02-0400	23	14	26
143	MINION02_4teamawesome_2446_1_ch143_file4_strand.fast5	1714	1445624688	1445625016	15	1445625031	2015-10-23T14:30:16-0400	23	14	30
145	MINION02_4teamawesome_2446_1_ch145_file10_strand.fast5	1514	1445624688	1445625358	17	1445625375	2015-10-23T14:35:58-0400	23	14	35
145	MINION02_4teamawesome_2446_1_ch145_file13_strand.fast5	8995	1445624688	1445625445	102	1445625547	2015-10-23T14:37:25-0400	23	14	37
145	MINION02_4teamawesome_2446_1_ch145_file17_strand.fast5	2825	1445624688	1445625953	19	1445625972	2015-10-23T14:45:53-0400	23	14	45
145	MINION02_4teamawesome_2446_1_ch145_file1_strand.fast5	3564	1445624688	1445624860	22	1445624882	2015-10-23T14:27:40-0400	23	14	27
145	MINION02_4teamawesome_2446_1_ch145_file2_strand.fast5	2762	1445624688	1445624914	29	1445624943	2015-10-23T14:28:34-0400	23	14	28
145	MINION02_4teamawesome_2446_1_ch145_file7_strand.fast5	750	1445624688	1445625192	5	1445625197	2015-10-23T14:33:12-0400	23	14	33
148	MINION02_4teamawesome_2446_1_ch148_file0_strand.fast5	1477	1445624688	1445624753	13	1445624766	2015-10-23T14:25:53-0400	23	14	25
148	MINION02_4teamawesome_2446_1_ch148_file10_strand.fast5	831	1445624688	1445625382	10	1445625392	2015-10-23T14:36:22-0400	23	14	36
148	MINION02_4teamawesome_2446_1_ch148_file11_strand.fast5	565	1445624688	1445625533	4	1445625537	2015-10-23T14:38:53-0400	23	14	38
148	MINION02_4teamawesome_2446_1_ch148_file18_strand.fast5	2897	1445624688	1445626237	28	1445626265	2015-10-23T14:50:37-0400	23	14	50
148	MINION02_4teamawesome_2446_1_ch148_file21_strand.fast5	2561	1445624688	1445626378	34	1445626412	2015-10-23T14:52:58-0400	23	14	52
148	MINION02_4teamawesome_2446_1_ch148_file4_strand.fast5	1078	1445624688	1445625077	10	1445625087	2015-10-23T14:31:17-0400	23	14	31
148	MINION02_4teamawesome_2446_1_ch148_file8_strand.fast5	1877	1445624688	1445625292	16	1445625308	2015-10-23T14:34:52-0400	23	14	34
148	MINION02_4teamawesome_2446_1_ch148_file9_strand.fast5	2622	1445624688	1445625332	24	1445625356	2015-10-23T14:35:32-0400	23	14	35
149	MINION02_4teamawesome_2446_1_ch149_file0_strand.fast5	1224	1445624688	1445624762	9	1445624771	2015-10-23T14:26:02-0400	23	14	26
149	MINION02_4teamawesome_2446_1_ch149_file10_strand.fast5	1870	1445624688	1445625092	15	1445625107	2015-10-23T14:31:32-0400	23	14	31
149	MINION02_4teamawesome_2446_1_ch149_file14_strand.fast5	5403	1445624688	1445625295	41	1445625336	2015-10-23T14:34:55-0400	23	14	34
149	MINION02_4teamawesome_2446_1_ch149_file16_strand.fast5	840	1445624688	1445625440	6	1445625446	2015-10-23T14:37:20-0400	23	14	37
149	MINION02_4teamawesome_2446_1_ch149_file18_strand.fast5	8632	1445624688	1445625590	102	1445625692	2015-10-23T14:39:50-0400	23	14	39
149	MINION02_4teamawesome_2446_1_ch149_file19_strand.fast5	8008	1445624688	1445625835	55	1445625890	2015-10-23T14:43:55-0400	23	14	43
149	MINION02_4teamawesome_2446_1_ch149_file25_strand.fast5	1510	1445624688	1445626294	20	1445626314	2015-10-23T14:51:34-0400	23	14	51
149	MINION02_4teamawesome_2446_1_ch149_file26_strand.fast5	1424	1445624688	1445626326	10	1445626336	2015-10-23T14:52:06-0400	23	14	52
149	MINION02_4teamawesome_2446_1_ch149_file28_strand.fast5	1067	1445624688	1445626390	12	1445626402	2015-10-23T14:53:10-0400	23	14	53
149	MINION02_4teamawesome_2446_1_ch149_file29_strand.fast5	6728	1445624688	1445626494	52	1445626546	2015-10-23T14:54:54-0400	23	14	54
149	MINION02_4teamawesome_2446_1_ch149_file31_strand.fast5	2165	1445624688	1445626667	29	1445626696	2015-10-23T14:57:47-0400	23	14	57
149	MINION02_4teamawesome_2446_1_ch149_file34_strand.fast5	354	1445624688	1445626970	2	1445626972	2015-10-23T15:02:50-0400	23	15	02
149	MINION02_4teamawesome_2446_1_ch149_file36_strand.fast5	807	1445624688	1445627040	9	1445627049	2015-10-23T15:04:00-0400	23	15	04
149	MINION02_4teamawesome_2446_1_ch149_file38_strand.fast5	1843	1445624688	1445627147	15	1445627162	2015-10-23T15:05:47-0400	23	15	05
149	MINION02_4teamawesome_2446_1_ch149_file5_strand.fast5	3856	1445624688	1445624938	30	1445624968	2015-10-23T14:28:58-0400	23	14	28
149	MINION02_4teamawesome_2446_1_ch149_file8_strand.fast5	2816	1445624688	1445625043	21	1445625064	2015-10-23T14:30:43-0400	23	14	30
151	MINION02_4teamawesome_2446_1_ch151_file2_strand.fast5	3420	1445624688	1445624962	27	1445624989	2015-10-23T14:29:22-0400	23	14	29
151	MINION02_4teamawesome_2446_1_ch151_file4_strand.fast5	543	1445624688	1445625129	4	1445625133	2015-10-23T14:32:09-0400	23	14	32
151	MINION02_4teamawesome_2446_1_ch151_file5_strand.fast5	1592	1445624688	1445625138	28	1445625166	2015-10-23T14:32:18-0400	23	14	32
151	MINION02_4teamawesome_2446_1_ch151_file7_strand.fast5	4686	1445624688	1445625236	44	1445625280	2015-10-23T14:33:56-0400	23	14	33
151	MINION02_4teamawesome_2446_1_ch151_file8_strand.fast5	6703	1445624688	1445625358	90	1445625448	2015-10-23T14:35:58-0400	23	14	35
151	MINION02_4teamawesome_2446_1_ch151_file9_strand.fast5	411	1445624688	1445625517	4	1445625521	2015-10-23T14:38:37-0400	23	14	38
152	MINION02_4teamawesome_2446_1_ch152_file0_strand.fast5	3616	1445624688	1445624734	84	1445624818	2015-10-23T14:25:34-0400	23	14	25
158	MINION02_4teamawesome_2446_1_ch158_file1_strand.fast5	4386	1445624688	1445626126	31	1445626157	2015-10-23T14:48:46-0400	23	14	48
159	MINION02_4teamawesome_2446_1_ch159_file2_strand.fast5	2593	1445624688	1445624747	19	1445624766	2015-10-23T14:25:47-0400	23	14	25
161	MINION02_4teamawesome_2446_1_ch161_file4_strand.fast5	12328	1445624688	1445624938	116	1445625054	2015-10-23T14:28:58-0400	23	14	28
165	MINION02_4teamawesome_2446_1_ch165_file1_strand.fast5	717	1445624688	1445624774	8	1445624782	2015-10-23T14:26:14-0400	23	14	26
166	MINION02_4teamawesome_2446_1_ch166_file1_strand.fast5	3527	1445624688	1445624774	29	1445624803	2015-10-23T14:26:14-0400	23	14	26
166	MINION02_4teamawesome_2446_1_ch166_file2_strand.fast5	720	1445624688	1445624833	6	1445624839	2015-10-23T14:27:13-0400	23	14	27
166	MINION02_4teamawesome_2446_1_ch166_file5_strand.fast5	9076	1445624688	1445624930	89	1445625019	2015-10-23T14:28:50-0400	23	14	28
166	MINION02_4teamawesome_2446_1_ch166_file6_strand.fast5	4389	1445624688	1445625228	50	1445625278	2015-10-23T14:33:48-0400	23	14	33
167	MINION02_4teamawesome_2446_1_ch167_file0_strand.fast5	1536	1445624688	1445624744	22	1445624766	2015-10-23T14:25:44-0400	23	14	25
172	MINION02_4teamawesome_2446_1_ch172_file0_strand.fast5	2999	1445624688	1445624742	29	1445624771	2015-10-23T14:25:42-0400	23	14	25
172	MINION02_4teamawesome_2446_1_ch172_file13_strand.fast5	3860	1445624688	1445634312	105	1445634417	2015-10-23T17:05:12-0400	23	17	05
172	MINION02_4teamawesome_2446_1_ch172_file15_strand.fast5	2291	1445624688	1445637656	27	1445637683	2015-10-23T18:00:56-0400	23	18	00
172	MINION02_4teamawesome_2446_1_ch172_file18_strand.fast5	1183	1445624688	1445637926	13	1445637939	2015-10-23T18:05:26-0400	23	18	05
172	MINION02_4teamawesome_2446_1_ch172_file1_strand.fast5	544	1445624688	1445624798	5	1445624803	2015-10-23T14:26:38-0400	23	14	26
172	MINION02_4teamawesome_2446_1_ch172_file27_strand.fast5	2094	1445624688	1445638906	31	1445638937	2015-10-23T18:21:46-0400	23	18	21
172	MINION02_4teamawesome_2446_1_ch172_file2_strand.fast5	485	1445624688	1445624816	4	1445624820	2015-10-23T14:26:56-0400	23	14	26
172	MINION02_4teamawesome_2446_1_ch172_file35_strand.fast5	804	1445624688	1445643710	17	1445643727	2015-10-23T19:41:50-0400	23	19	41
173	MINION02_4teamawesome_2446_1_ch173_file0_strand.fast5	5607	1445624688	1445624868	53	1445624921	2015-10-23T14:27:48-0400	23	14	27
173	MINION02_4teamawesome_2446_1_ch173_file5_strand.fast5	1887	1445624688	1445625638	54	1445625692	2015-10-23T14:40:38-0400	23	14	40
175	MINION02_4teamawesome_2446_1_ch175_file14_strand.fast5	1795	1445624688	1445625754	26	1445625780	2015-10-23T14:42:34-0400	23	14	42
175	MINION02_4teamawesome_2446_1_ch175_file15_strand.fast5	1335	1445624688	1445625795	11	1445625806	2015-10-23T14:43:15-0400	23	14	43
175	MINION02_4teamawesome_2446_1_ch175_file17_strand.fast5	10880	1445624688	1445625856	100	1445625956	2015-10-23T14:44:16-0400	23	14	44
175	MINION02_4teamawesome_2446_1_ch175_file18_strand.fast5	2957	1445624688	1445626349	45	1445626394	2015-10-23T14:52:29-0400	23	14	52
175	MINION02_4teamawesome_2446_1_ch175_file1_strand.fast5	3608	1445624688	1445624737	40	1445624777	2015-10-23T14:25:37-0400	23	14	25
175	MINION02_4teamawesome_2446_1_ch175_file20_strand.fast5	456	1445624688	1445626450	4	1445626454	2015-10-23T14:54:10-0400	23	14	54
175	MINION02_4teamawesome_2446_1_ch175_file27_strand.fast5	2822	1445624688	1445627320	76	1445627396	2015-10-23T15:08:40-0400	23	15	08
175	MINION02_4teamawesome_2446_1_ch175_file29_strand.fast5	4776	1445624688	1445627558	54	1445627612	2015-10-23T15:12:38-0400	23	15	12
175	MINION02_4teamawesome_2446_1_ch175_file30_strand.fast5	1487	1445624688	1445627660	21	1445627681	2015-10-23T15:14:20-0400	23	15	14
175	MINION02_4teamawesome_2446_1_ch175_file33_strand.fast5	526	1445624688	1445627817	7	1445627824	2015-10-23T15:16:57-0400	23	15	16
175	MINION02_4teamawesome_2446_1_ch175_file36_strand.fast5	581	1445624688	1445628002	5	1445628007	2015-10-23T15:20:02-0400	23	15	20
175	MINION02_4teamawesome_2446_1_ch175_file38_strand.fast5	2397	1445624688	1445628143	22	1445628165	2015-10-23T15:22:23-0400	23	15	22
175	MINION02_4teamawesome_2446_1_ch175_file3_strand.fast5	4102	1445624688	1445624826	58	1445624884	2015-10-23T14:27:06-0400	23	14	27
175	MINION02_4teamawesome_2446_1_ch175_file41_strand.fast5	2317	1445624688	1445628542	22	1445628564	2015-10-23T15:29:02-0400	23	15	29
175	MINION02_4teamawesome_2446_1_ch175_file45_strand.fast5	1712	1445624688	1445630855	19	1445630874	2015-10-23T16:07:35-0400	23	16	07
175	MINION02_4teamawesome_2446_1_ch175_file46_strand.fast5	7301	1445624688	1445630901	139	1445631040	2015-10-23T16:08:21-0400	23	16	08
175	MINION02_4teamawesome_2446_1_ch175_file49_strand.fast5	3175	1445624688	1445631274	47	1445631321	2015-10-23T16:14:34-0400	23	16	14
175	MINION02_4teamawesome_2446_1_ch175_file4_strand.fast5	1007	1445624688	1445624929	9	1445624938	2015-10-23T14:28:49-0400	23	14	28
175	MINION02_4teamawesome_2446_1_ch175_file50_strand.fast5	3804	1445624688	1445631565	61	1445631626	2015-10-23T16:19:25-0400	23	16	19
175	MINION02_4teamawesome_2446_1_ch175_file51_strand.fast5	2300	1445624688	1445631687	31	1445631718	2015-10-23T16:21:27-0400	23	16	21
175	MINION02_4teamawesome_2446_1_ch175_file58_strand.fast5	919	1445624688	1445632287	23	1445632310	2015-10-23T16:31:27-0400	23	16	31
